date,open,high,low,close,volume,signal
2023-01-03,3853.2900390625,3878.4599609375,3794.330078125,3824.139892578125,3959140000,1
2023-01-04,3840.360107421875,3873.159912109375,3815.77001953125,3852.969970703125,4414080000,1
2023-01-05,3839.739990234375,3839.739990234375,3802.419921875,3808.10009765625,3893450000,1
2023-01-06,3823.3701171875,3906.18994140625,3809.56005859375,3895.080078125,3923560000,1
2023-01-09,3910.820068359375,3950.570068359375,3890.419921875,3892.090087890625,4311770000,1
2023-01-10,3888.570068359375,3919.830078125,3877.2900390625,3919.25,3851030000,1
2023-01-11,3932.35009765625,3970.070068359375,3928.5400390625,3969.610107421875,4303360000,1
2023-01-12,3977.570068359375,3997.760009765625,3937.56005859375,3983.169921875,4440260000,1
2023-01-13,3960.60009765625,4003.949951171875,3947.669921875,3999.090087890625,3939700000,1
2023-01-17,3999.280029296875,4015.389892578125,3984.570068359375,3990.969970703125,4235560000,1
2023-01-18,4002.25,4014.159912109375,3926.590087890625,3928.860107421875,4298710000,1
2023-01-19,3911.840087890625,3922.93994140625,3885.5400390625,3898.85009765625,3991500000,1
2023-01-20,3909.0400390625,3972.9599609375,3897.860107421875,3972.610107421875,4013360000,1
2023-01-23,3978.139892578125,4039.31005859375,3971.639892578125,4019.81005859375,3945210000,1
2023-01-24,4001.739990234375,4023.919921875,3989.7900390625,4016.949951171875,3320430000,1
2023-01-25,3982.7099609375,4019.550048828125,3949.06005859375,4016.219970703125,3724020000,1
2023-01-26,4036.080078125,4061.570068359375,4013.2900390625,4060.429931640625,3809590000,1
2023-01-27,4053.719970703125,4094.2099609375,4048.699951171875,4070.56005859375,3907760000,1
2023-01-30,4049.27001953125,4063.85009765625,4015.550048828125,4017.77001953125,3802000000,1
2023-01-31,4020.85009765625,4077.159912109375,4020.43994140625,4076.60009765625,4679320000,1
2023-02-01,4070.070068359375,4148.9501953125,4037.199951171875,4119.2099609375,4856930000,1
2023-02-02,4158.68017578125,4195.43994140625,4141.8798828125,4179.759765625,5624360000,-1
2023-02-03,4136.68994140625,4182.35986328125,4123.35986328125,4136.47998046875,4694510000,-1
2023-02-06,4119.56982421875,4124.6298828125,4093.3798828125,4111.080078125,4114240000,-1
2023-02-07,4105.35009765625,4176.5400390625,4088.389892578125,4164.0,4355860000,-1
2023-02-08,4153.47021484375,4156.85009765625,4111.669921875,4117.85986328125,4029820000,-1
2023-02-09,4144.25,4156.22998046875,4069.669921875,4081.5,4270200000,-1
2023-02-10,4068.919921875,4094.360107421875,4060.7900390625,4090.4599609375,3891520000,-1
2023-02-13,4096.6201171875,4138.89990234375,4092.669921875,4137.2900390625,3448620000,-1
2023-02-14,4126.7001953125,4159.77001953125,4095.010009765625,4136.1298828125,3929200000,-1
2023-02-15,4119.5,4148.10986328125,4103.97998046875,4147.60009765625,4075980000,-1
2023-02-16,4114.75,4136.5400390625,4089.489990234375,4090.409912109375,4143660000,-1
2023-02-17,4077.389892578125,4081.510009765625,4047.949951171875,4079.090087890625,4045480000,-1
2023-02-21,4052.35009765625,4052.35009765625,3995.18994140625,3997.340087890625,4121590000,-1
2023-02-22,4001.830078125,4017.3701171875,3976.89990234375,3991.050048828125,4079320000,-1
2023-02-23,4018.60009765625,4028.300048828125,3969.18994140625,4012.320068359375,3952940000,-1
2023-02-24,3973.239990234375,3978.25,3943.080078125,3970.0400390625,3877700000,-1
2023-02-27,3992.360107421875,4018.050048828125,3973.550048828125,3982.239990234375,3836950000,-1
2023-02-28,3977.18994140625,3997.5,3968.97998046875,3970.14990234375,5043400000,-1
2023-03-01,3963.340087890625,3971.72998046875,3939.050048828125,3951.389892578125,4249480000,-1
2023-03-02,3938.679931640625,3990.840087890625,3928.159912109375,3981.35009765625,4244900000,-1
2023-03-03,3998.02001953125,4048.2900390625,3995.169921875,4045.639892578125,4084730000,-1
2023-03-06,4055.14990234375,4078.489990234375,4044.610107421875,4048.419921875,4000870000,-1
2023-03-07,4048.260009765625,4050.0,3980.31005859375,3986.3701171875,3922500000,-1
2023-03-08,3987.550048828125,4000.409912109375,3969.760009765625,3992.010009765625,3535570000,-1
2023-03-09,3998.659912109375,4017.81005859375,3908.699951171875,3918.320068359375,4445260000,-1
2023-03-10,3912.77001953125,3934.050048828125,3846.320068359375,3861.590087890625,5518190000,1
2023-03-13,3835.1201171875,3905.050048828125,3808.860107421875,3855.760009765625,6558020000,1
2023-03-14,3894.010009765625,3937.2900390625,3873.6298828125,3919.2900390625,5665870000,1
2023-03-15,3876.739990234375,3894.260009765625,3838.239990234375,3891.929931640625,6594010000,1
2023-03-16,3878.929931640625,3964.4599609375,3864.110107421875,3960.280029296875,5695790000,1
2023-03-17,3958.68994140625,3958.909912109375,3901.27001953125,3916.639892578125,9354280000,1
2023-03-20,3917.469970703125,3956.6201171875,3916.889892578125,3951.570068359375,5347140000,1
2023-03-21,3975.889892578125,4009.080078125,3971.18994140625,4002.8701171875,4920240000,1
2023-03-22,4002.0400390625,4039.489990234375,3936.169921875,3936.969970703125,4533010000,1
